login,name,location_original,created_at,followers,repositories,location_country
davidfowl,David Fowler,"Bellevue, WA",,12808,312,澳大利亚
mosh-hamedani,Mosh Hamedani,"Melbourne, Australia",,12786,31,澳大利亚
nicknochnack,Nicholas Renotte,"Sydney, Australia",,11706,194,澳大利亚
TheCherno,Yan Chernikov,"Melbourne, Australia",,11240,41,澳大利亚
munificent,Bob Nystrom,"Seattle, WA",,9931,53,澳大利亚
haileys,Hailey Somerville,Naarm / Melbourne,,9391,392,澳大利亚
ahmetb,Ahmet Alp Balkan,"Seattle, WA",,8215,225,澳大利亚
koush,Koushik Dutta,"Seattle, WA",,8212,367,澳大利亚
brendangregg,Brendan Gregg,"Sydney, Australia",,8024,46,澳大利亚
jtleek,Jeff L.,"Seattle, WA",,7303,173,澳大利亚
cornflourblue,Jason Watmore,Sydney Australia,,6701,188,澳大利亚
0vm,Ak,"Sydney, Australia",,6566,10,澳大利亚
davecheney,Dave Cheney,"Sydney, Australia",,6557,178,澳大利亚
rstacruz,Rico Sta. Cruz,"Melbourne, AU",,6435,601,澳大利亚
rhiever,Randy Olson,"Vancouver, WA",,6406,90,澳大利亚
TheLarkInn,Sean Larkin,"Seattle, WA",,6404,283,澳大利亚
jph00,Jeremy Howard,"Brisbane, Australia",,6337,87,澳大利亚
jasontaylordev,Jason Taylor,"Brisbane, Australia",,5926,47,澳大利亚
microsoftopensource,Microsoft Open Source,"Redmond, WA",,5624,54,澳大利亚
kevinsawicki,Kevin Sawicki,"Sammamish, WA",,4907,224,澳大利亚
zpao,Paul O’Shannessy,"Seattle, WA",,4890,166,澳大利亚
JedWatson,Jed Watson,Sydney,,4625,128,澳大利亚
acantril,Adrian Cantrill,Brisbane,,4589,20,澳大利亚
jesseduffield,Jesse Duffield,Melbourne,,4582,63,澳大利亚
